inventory_id,product_id,batch_no,mfg_date,expiry_date,quantity_available,reorder_level
88,30,EK-30-088,2026-05-20,2028-05-20,821.12,323.2
89,31,EK-31-089,2025-11-14,2027-11-14,812.34,438.04
90,31,EK-31-090,2026-02-11,2028-02-11,492.07,303.17
91,31,EK-31-091,2025-07-03,2027-07-03,1346.5,313.02
92,31,EK-31-092,2025-06-19,2027-06-19,818.5,563.88
93,32,EK-32-093,2026-02-07,2028-02-07,1301.34,310.31
94,32,EK-32-094,2026-03-12,2028-03-12,635.77,537.63
95,32,EK-32-095,2025-04-02,2027-04-02,717.89,311.95
96,32,EK-32-096,2025-06-02,2027-06-02,1123.07,437.05
97,33,EK-33-097,2026-05-27,2027-11-27,846.4,426.2
98,33,EK-33-098,2025-09-14,2027-03-14,782.37,282.3
99,33,EK-33-099,2026-05-26,2027-11-26,1241.85,278.62
100,34,EK-34-100,2026-03-27,2029-03-27,44.59,271.38
101,34,EK-34-101,2025-10-28,2028-10-28,127.52,459.05
102,34,EK-34-102,2025-09-12,2028-09-12,91.85,419.58
103,35,EK-35-103,2026-04-25,2029-04-25,993.8,511.61
104,35,EK-35-104,2026-06-28,2029-06-28,521.61,296.59
105,35,EK-35-105,2026-07-09,2029-07-09,1642.81,429.09
106,35,EK-35-106,2025-11-15,2028-11-15,345.71,553.53
107,36,EK-36-107,2025-11-27,2027-11-27,895.75,286.7
108,36,EK-36-108,2026-03-15,2028-03-15,865.93,257.02
109,36,EK-36-109,2025-04-27,2027-04-27,1561.06,281.22
110,37,EK-37-110,2025-09-15,2027-03-15,649.82,370.02
111,37,EK-37-111,2026-06-17,2027-12-17,1318.65,526.21
112,37,EK-37-112,2026-03-25,2027-09-25,1019.37,454.47
113,38,EK-38-113,2026-06-08,2028-06-08,1136.61,455.29
114,38,EK-38-114,2025-11-18,2027-11-18,491.37,349.32
115,38,EK-38-115,2026-07-06,2028-07-06,1649.47,462.64
116,39,EK-39-116,2025-04-28,2027-04-28,1047.37,365.62
117,39,EK-39-117,2025-06-30,2027-06-30,655.84,285.62
118,39,EK-39-118,2025-12-26,2027-12-26,848.04,420.73
119,39,EK-39-119,2025-07-27,2027-07-27,579.85,349.78
120,40,EK-40-120,2026-02-10,2028-02-10,56.71,278.08
121,40,EK-40-121,2026-06-02,2028-06-02,157.82,599.04
122,40,EK-40-122,2025-03-31,2027-03-31,138.64,552.93
123,40,EK-40-123,2025-07-08,2027-07-08,126.43,503.01
124,41,EK-41-124,2025-08-11,2027-08-11,1102.56,416.82
125,41,EK-41-125,2026-01-20,2028-01-20,1454.24,315.47
126,41,EK-41-126,2026-03-16,2028-03-16,1366.43,319.83
127,42,EK-42-127,2026-02-22,2028-02-22,472.26,463.72
128,42,EK-42-128,2025-08-26,2027-08-26,430.94,427.14
129,43,EK-43-129,2025-07-21,2028-07-21,780.96,457.86
130,43,EK-43-130,2025-06-17,2028-06-17,804.91,297.05
131,43,EK-43-131,2025-05-31,2028-05-31,1123.38,320.61
132,43,EK-43-132,2026-01-25,2029-01-25,1514.81,339.12
133,44,EK-44-133,2025-08-17,2027-02-17,1440.34,458.47
134,44,EK-44-134,2025-05-30,2026-11-30,1209.15,528.0
135,45,EK-45-135,2025-09-10,2027-03-10,1576.09,511.09
136,45,EK-45-136,2025-05-04,2026-11-04,486.45,505.8
137,45,EK-45-137,2026-02-25,2027-08-25,607.5,382.73
138,45,EK-45-138,2026-07-11,2028-01-11,1411.68,451.07
